@id,@lat,@lon,name,leisure,sport
26444235,51.6488960,0.4357171,Stock Tennis CLub,,tennis
29945047,53.4055102,-2.2282663,Didsbury Lawn Tennis Club,,tennis
30152964,52.0984047,0.2713665,,,tennis
34957391,52.0864193,0.0226359,,,tennis
105844795,53.4905045,-3.0485048,Blundellsands Lawn Tennis Club,sport,tennis
112139983,51.1955094,0.2213132,,,tennis
242588025,52.2408854,0.3924339,Newmarket Tennis Club,,tennis
266830528,51.3786175,-0.1954798,Sutton Junior Tennis Centre,,tennis
266830778,51.3786175,-0.1953537,Sutton Tennis Academy,,tennis
269043115,53.8151516,-1.7889564,Heaton Tennis Club,,tennis
277311270,53.3608407,-2.0710576,Woodside Tennis Club,,tennis
283142519,50.8035794,-0.0420401,Saltdean Tennis Club,sports_centre,tennis
289738688,51.5015630,-0.9011487,Shiplake Tennis Club,,tennis
290977412,51.8068397,-0.7967456,Aylesbury Tennis and Squash Club,,tennis
300463078,52.4807357,-1.2027707,Lutterworth Tennis Club,,tennis
300909518,53.8054651,-1.5875262,,,tennis
305436915,51.2394632,-0.7278061,Tennis Together,,tennis
309786898,53.3263060,-1.5182001,Abbeydale Park Tennis Club,sports_centre,tennis
315986276,51.2768324,-1.1534064,Manydown Tennis,,tennis
316947244,51.2563342,-0.7168656,Ash Tennis Club,sports_centre,tennis
321275355,51.2569412,-0.6750946,Normandy Tennis Club,,tennis
339462010,52.0462007,-1.7781068,Chipping Campden Tennis Club,,tennis
388589665,51.2982632,-0.6468893,Pirbright Tennis Club,,tennis
390918458,51.3829022,-0.8179008,Crowthorne Tennis Club,,tennis
441420038,51.2557188,-1.1821847,Oakley Tennis Club,,tennis
474017145,51.2750193,-1.0426041,Old Basing Lawn Tennis Club,,tennis
485245306,51.8687943,-0.1826330,Knebworth Tennis Club,sports_centre,tennis
565112069,51.1398564,-4.2201675,,,tennis
615246564,51.0722384,-4.0574777,Tarka Tennis Centre,pitch,tennis
620868634,52.3695417,-1.2765812,Rugby Lawn tennis Club,sports_centre,tennis
685890972,55.0655919,-1.5536695,Seghill Multi-use Sports Centre,,tennis
694111693,51.8853307,0.9020702,,,tennis
703664084,51.7028830,-0.6200551,Chesham 1879 Lawn Tennis and Squash Club,,tennis
861899889,55.4642572,-4.6368509,Ayr Tennis Pavillion,,tennis
935514848,56.1109248,-3.9455938,,sports_centre,tennis
954255353,53.7594281,-3.0412496,St Anne's on Sea Lawn Tennis and Squash Club,sports_centre,tennis
1010699296,51.8890231,-0.1557191,Aston Tennis Club,,tennis
1200668909,54.6617753,-5.6824530,Bangor Lawn Tennis Club,,tennis
1258101942,53.6532914,-1.7932615,Huddersfield Lawn Tennis Club,sports_centre,tennis
1420115256,53.3572414,-1.4968287,Brentwood Tennis Club,pitch,tennis
1631661039,51.5361361,-0.9040220,Henley Sports,,tennis
1679013641,50.4125009,-5.0710557,Heron Tennis Centre,sports_centre,tennis
1774073247,51.7636936,-0.5659804,Berkhamsted Tennis and Squash Club,sports_centre,tennis
1808061541,53.0264688,-1.4877602,Belper Meadows Tennis Club,sports_centre,tennis
2297147950,52.3386020,-1.2814808,Dunchurch Park Hotel,sports_centre,tennis
2300246043,52.3002912,-1.4580110,Offchurch Tennis Club,sports_centre,tennis
2300250890,52.2478889,-1.3159373,Napton Tennis Club,sports_centre,tennis
2300255236,52.3366334,-1.1740297,Kilsby Tennis Club,sports_centre,tennis
2300260639,52.3811968,-1.2271562,Clifton Tennis Club,sports_centre,tennis
2445857643,52.9065574,-1.4421700,,,tennis
2445857862,52.9069521,-1.4419045,,,tennis
2614690114,51.4598039,-2.3106608,Marshfield Tennis Club,sports_centre,tennis
2653060637,50.7330097,-1.7955362,Southbourne Tennis Club,,tennis
2888408209,50.3453501,-4.4534227,tennis courts,sports_centre,tennis
2979509713,53.6538213,-2.9790663,Southbank Lawn Tennis Club,sports_centre,tennis
3382609693,52.6028900,-0.2536493,,playground,tennis
3382609793,52.6028055,-0.2534976,,playground,tennis
3627937518,51.4560902,-2.6500965,Bristol Real Tennis Club,,tennis
3658296636,51.3628592,0.2999630,New Ash Green Tennis Club,sports_centre,tennis
4014638648,54.5700277,-5.9028933,Ballynafeigh Tennis & Squash Club,sports_centre,tennis
4047496879,51.4654172,-2.1272101,Chippenham Tennis Club,sports_centre,tennis
4169512853,55.9450867,-3.2449502,Murrayfield Lawn Tennis Club,,tennis
4288022354,55.9558214,-3.2506116,Blackhall Lawn Tennis Club,,tennis
4581012361,53.8526908,-2.9883343,Moorland Tennis Club,sports_centre,tennis
4860601936,52.0266096,-1.1438198,Brackley Tennis Club,sports_centre,tennis
5180710407,52.2483377,-0.8482486,Northampton Lawn Tennis Club,sports_centre,tennis
5226109968,51.5731092,0.4830233,Basildon Tennis Club,sports_centre,tennis
5835081641,51.4085105,-0.6722098,Royal Ascot Tennis Club,sports_centre,tennis
5874315571,54.4464487,-1.2807693,Hutton Rudby Tennis Club,,tennis
6228146488,54.3031763,-0.5164531,Hackness Tennis Club,sports_centre,tennis
6369893182,51.4731750,-0.2152334,Bishops Park Tennis Centre,sports_centre,tennis
6396875641,52.1322114,-0.4643466,Bedford Girls School Junior School Tennis Courts,sports_centre,tennis
6525008515,51.5287271,-0.1744813,,sports_centre,tennis
6566010913,51.3961415,-0.2261022,All England Club Community Sports Ground,sports_centre,tennis
7781277404,51.5109349,-3.1876400,Heath Tennis In The Park,,tennis
7836141138,51.6969443,-2.9017957,Aspire Tennis Academy,,tennis
7836141149,51.6966352,-2.9012791,Usk Tennis Club,,tennis
7841367552,51.5711918,-2.9613609,Newport Tennis Centre,sports_centre,tennis
7845208317,52.3920180,-2.2389381,Kidderminster Tennis Club,,tennis
7961017977,52.6192107,-1.2364984,Leicester Forest East Tennis Club,sports_centre,tennis
8237149510,51.2180509,1.3963825,Deal Indoor Tennis Centre,sports_centre,tennis
8438363507,50.8250992,-0.1233823,Queens Park Tennis Club,,tennis
8511354867,55.9070433,-4.3377537,Westerton Tennis Club,,tennis
8541858902,53.1319503,-1.6098791,,,tennis
8596339063,51.5849955,-3.0174087,Stow Park Lawn Tennis Club,,tennis
9193283404,51.4690290,-0.2952521,Richmond Lawn Tennis Club,,tennis
9383986850,53.0266854,-1.4886715,Belper Meadows Tennis Club,sports_centre,tennis
9383986851,53.0261682,-1.4878869,Belper Meadows Tennis Club,sports_centre,tennis
9434227144,51.5897324,-0.2306034,Real Tennis Court,pitch,tennis
10026478191,50.3618806,-4.1615976,Stonehouse Lawn Tennis Club,,tennis
10836743194,50.7156990,-1.8804051,Harry's Tennis Court,pitch,tennis
11084428018,52.0592207,0.3296364,,pitch,tennis
11090092073,52.0250554,0.2406719,,pitch,tennis
11090092074,52.0252145,0.2411640,,pitch,tennis
11090963390,52.0243574,0.2984878,,pitch,tennis
11090963393,52.0183737,0.2833001,,pitch,tennis
11112551093,55.6100655,-3.4087644,Broughton & District Tennis Club,sports_centre,tennis
11126024031,50.5851887,-3.6779194,Bovey Tracey Tennis Club,,tennis
11149553494,52.0313180,0.2825060,,pitch,tennis
11149569296,52.0406314,0.3134997,,pitch,tennis
11167188321,53.3659839,-1.9966198,New Mills Tennis Club,,tennis
11182039128,53.5574751,-2.1984156,Middleton Tennis Club,,tennis
11243105499,52.5586007,-2.3610395,Worfield Tennis Club,,tennis
11368182448,53.1970831,-2.3567655,Holmes Chapel Victoria Tennis Club,,tennis
11406429028,53.3491456,-2.1959415,,,tennis
11433206207,51.5709462,0.0590350,Cranbrook Castle Lawn Tennis Social Club,,tennis
11472885991,51.7781980,-2.7018516,Penallt Tennis Club,,tennis
11591210694,51.2345390,-0.1866827,,pitch,tennis
11591210695,51.2322113,-0.1869100,,pitch,tennis
11843363096,52.5193480,-3.3013424,Newtown Tennis Club,,tennis
11847293617,51.6328156,-2.6792814,Chepstow Tennis Club,,tennis
11952022175,53.2315598,-2.3552788,Goostrey Tennis Club,,tennis
